Almondêga com pure
Arroz com ovo e linguiçinha 
Arroz com ovo frito e shoyo
Abóbora refogada
Abobrinha com ovo e carne
Batata assada
Batata recheada
Bife a cavalo acebolado
Bife a cavalo e batata frita
Bife a milanesa
Bobó de frango
Caldo verde
Carê com arroz
Carne com batatinha picada
Carne moída com chuchu
Carne de porco com molho teriaky
Charuto de repolho
Coxinha
Creme de milho
Bisteca de porco
Empadão de frango
Escondidinho
Espaguete Alfredo com Linguiça
Filé de Frango assado com Requeijão
Frango a milanesa com salada
Frango assado com batata
Frango com curry
Frango com molho cítrico
Frango cremoso
Frango grelhado e salada
Fricasse de frango
Galinha escabelada
Galinhada
Guacamole
Grilled Cheese
Hambúrguer caseiro
Hot dog americano
Hot dog caseiro
Kibe
Lasanha
Macarrão alfredo
Macarrão alho e óleo
Macarrão carbonara
Macarrão com frango e brócolis
Macarrão com frango e curry
Macarrão com molho vermelho
Medalhão de filé mignon
Nhoque com molho vermelho
Ovos rancheiros
Panqueca brunch
Panqueca carne/frango
Pão caseiro
Pastel em casa
Pizza caseira
Polenta com carne moída
Polenta com frango e quiabo
Polpetone recheado
Purê de mandioca com carne moída
Rap 10 com frios
Rocambole de presunto e queijo
Salgados assados
Sobá
Strogonoff de carne
Strogonoff de frango
Sukyaki
Tapioca com frios
Toast de abacate com ovos
Tutu de Feijão com Ovo Frito
Vaca Atolada
