strDrink,strCategory,strDrinkThumb,ingredients,measurments_ingredients,strInstructions,strGlass,strAlcoholic
Valencia Cocktail,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/9myuc11492975640.jpg,"Apricot brandy,Orange,Orange bitters,,,,,,,,,,,,","1 1/2 oz Apricot brandy,1 tblsp Orange juice,2 dashes Orange bitters, , , , , , , , , ","Shake all ingredients with ice, strain into a cocktail glass, and serve.",Cocktail glass,Alcoholic
Vampiro,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/yfhn371504374246.jpg,"Tequila,Tomato,Orange,Lime,Sugar Syrup,Salt,,,,,,,,,","6 cl Tequila,3 cl Tomato Juice,3 cl Orange Juice,1.5 cl Lime Juice,1 dash Sugar Syrup,1 pinch Salt, , , , , , ","Vampiros may be made in a tall glass or an old fashioned glass. Bartenders may first ""rim"" the glass with Kosher Salt, which is done by placing a layer of Kosher Salt on a chopping board, moistening the glass' rim with lime juice or water, and then placing the upside down glass rim onto the Kosher Salt, so that the salt sticks to the moistened rim. The second step is to fill half the glass with ice and add one or two shooter glasses full of high quality Tequila. The next stage is to add the flavouring elements. This is done by squeezing a fresh lime into the glass, adding a few grains of salt, adding citrus-flavoured soda pop, until the glass is 4/5 full, and then adding spicy Viuda de Sanchez (or orange juice, lime juice and pico de gallo). The final step is to stir the ingredients so that the flavours are properly blended.",Old-Fashioned glass,Alcoholic
Van Vleet,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/fgq2bl1492975771.jpg,"Light rum,Maple syrup,Lemon,,,,,,,,,,,,","3 oz Light rum,1 oz Maple syrup,1 oz Lemon juice, , , , , , , , , ","Shake all ingredients with ice, strain into an old-fashioned glass over ice cubes, and serve.",Old-fashioned glass,Alcoholic
Vermouth Cassis,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/tswpxx1441554674.jpg,"Dry Vermouth,Creme de Cassis,Carbonated water,,,,,,,,,,,,","1 1/2 oz Dry Vermouth,3/4 oz Creme de Cassis,
 Carbonated water,
 ,
 ,
 ,
 ,
 , , , , ","Stir vermouth and creme de cassis in a highball glass with ice cubes. Fill with carbonated water, stir again, and serve.",Highball glass,Alcoholic
Vesper,Cocktail,http://www.thecocktaildb.com/images/media/drink/mtdxpa1504374514.jpg,"Gin,Vodka,Lillet Blanc,,,,,,,,,,,,","6 cl Gin,1.5 cl Vodka,0.75 cl Lillet Blanc, , , , , , , , , ","Shake over ice until well chilled, then strain into a deep goblet and garnish with a thin slice of lemon peel.",Cocktail glass,Alcoholic
Vesuvio,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/26cq601492976203.jpg,"Light rum,Sweet Vermouth,Lemon,Powdered sugar,Egg,,,,,,,,,,","1 oz Light rum,1/2 oz Sweet Vermouth,Juice of 1/2 Lemon,1 tsp Powdered sugar,1 Egg white, , , , , , , ","Shake all ingredients with ice, strain into an old-fashioned glass over ice cubes, and serve.",Old-fashioned glass,Alcoholic
Veteran,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/iwml9t1492976255.jpg,"Dark rum,Cherry brandy,,,,,,,,,,,,,","2 oz Dark rum,1/2 oz Cherry brandy, , , , , , , , , , ",Pour the rum and cherry brandy into an old-fashioned glass almost filled with ice cubes. Stir well.,Old-fashioned glass,Alcoholic
Victor,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/voapgc1492976416.jpg,"Gin,Sweet Vermouth,Brandy,,,,,,,,,,,,","1 1/2 oz Gin,1/2 oz Sweet Vermouth,1/2 oz Brandy, , , , , , , , , ","Shake all ingredients with ice, strain into a cocktail glass, and serve.",Cocktail glass,Alcoholic
Victory Collins,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/lx0lvs1492976619.jpg,"Vodka,Lemon,Grape,Powdered sugar,Orange,,,,,,,,,,","1 1/2 oz Vodka,3 oz Lemon juice,3 oz unsweetened Grape juice,1 tsp Powdered sugar,1 slice Orange, , , , , , , ",Shake all ingredients (except orange slice) with ice and strain into a collins glass over ice cubes. Add the slice of orange and serve.,Collins glass,Alcoholic
Vodka And Tonic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/lmj2yt1504820500.jpg,"Vodka,Tonic water,,,,,,,,,,,,,","2 oz Vodka,
 Tonic water,
 ,
 ,
 ,
 ,
 , , , , , ","Pour vodka into a highball glass over ice cubes. Fill with tonic water, stir, and serve.",Highball glass,Alcoholic
Vodka Fizz,Other/Unknown,http://www.thecocktaildb.com/images/media/drink/xwxyux1441254243.jpg,"Vodka,Half-and-half,Lime,Ice,Nutmeg,,,,,,,,,,","2 oz Vodka,2 oz Half-and-half,2 oz Lime juice,
 Ice,
 Nutmeg,
 ,
 ,
 ,
 ,
 , , ","Blend all ingredients, save nutmeg. Pour into large white wine glass and sprinkle nutmeg on top.",White wine glass,Alcoholic
Vodka Martini,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/qyxrqw1439906528.jpg,"Vodka,Dry Vermouth,Olive,,,,,,,,,,,,","1 1/2 oz Vodka,3/4 oz Dry Vermouth,1 Olive, , , , , , , , , ","Shake the vodka and vermouth together with a number of ice cubes, strain into a cocktail glass, add the olive and serve.",Cocktail glass,Alcoholic
Vodka Russian,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/rpttur1454515129.jpg,"Vodka,Schweppes Russchian,,,,,,,,,,,,,","2 oz Vodka,
 Schweppes Russchian,
 ,
 ,
 ,
 ,
 , , , , , ",Mix it as a ordinary drink .,Collins Glass,Alcoholic
Waikiki Beachcomber,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/ysuqus1441208583.jpg,"Triple sec,Gin,Pineapple,,,,,,,,,,,,","3/4 oz Triple sec,3/4 oz Gin,1 tblsp Pineapple juice, , , , , , , , , ","Shake all ingredients with ice, strain into a cocktail glass, and serve.",Cocktail glass,Alcoholic
Whiskey Sour,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/o56h041504352725.jpg,"Blended whiskey,Lemon,Powdered sugar,Cherry,Lemon,,,,,,,,,,","2 oz Blended whiskey,Juice of 1/2 Lemon,1/2 tsp Powdered sugar,1 Cherry,1/2 slice Lemon, , , , , , , ","Shake with ice. Strain into chilled glass, garnish and serve. If served 'On the rocks', strain ingredients into old-fashioned glass filled with ice.",Old-fashioned glass,Alcoholic
whiskey Mac,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/yvvwys1461867858.jpg,"Scotch,Wine,,,,,,,,,,,,,","1 1/2 oz Scotch,1 oz Green Ginger Wine, , , , , , , , , , ",Pour both of the ingredients into a wine goblet with no ice.,Collins Glass,Alcoholic
