strDrink,strCategory,strDrinkThumb,ingredients,measurments_ingredients,strInstructions,strGlass,strAlcoholic
57 Chevy with a White License Plate,Cocktail,http://www.thecocktaildb.com/images/media/drink/qyyvtu1468878544.jpg,"Creme de Cacao,Vodka,,,,,,,,,,,,,","1 oz white Creme de Cacao,1 oz Vodka, , , , , , , , , , ",1. Fill a rocks glass with ice 2.add white creme de cacao and vodka 3.stir,Highball glass,Alcoholic
1-900-FUK-MEUP,Shot,http://www.thecocktaildb.com/images/media/drink/uxywyw1468877224.jpg,"Absolut Kurant,Grand Marnier,Chambord raspberry liqueur,Midori melon liqueur,Malibu rum,Amaretto,Cranberry,Pineapple,,,,,,,","1/2 oz Absolut Kurant,1/4 oz Grand Marnier,1/4 oz Chambord raspberry liqueur,1/4 oz Midori melon liqueur,1/4 oz Malibu rum,1/4 oz Amaretto,1/2 oz Cranberry juice,1/4 oz Pineapple juice, , , , ",Shake ingredients in a mixing tin filled with ice cubes. Strain into a rocks glass.,Old-fashioned glass,Alcoholic
110 in the shade,Beer,http://www.thecocktaildb.com/images/media/drink/xxyywq1454511117.jpg,"Beer,Tequila,,,,,,,,,,,,,","16 oz Lager,1.5 oz Tequila, , , , , , , , , , ",Drop shooter in glass. Fill with beer,Beer Glass,Alcoholic
151 Florida Bushwacker,Milk / Float / Shake,http://www.thecocktaildb.com/images/media/drink/rvwrvv1468877323.jpg,"Malibu rum,Light rum,151 proof rum,Dark Creme de Cacao,Cointreau,Milk,Coconut liqueur,Vanilla ice-cream,,,,,,,","1/2 oz Malibu rum,1/2 oz Light rum,1/2 oz Bacardi 151 proof rum,1 oz Dark Creme de Cacao,1 oz Cointreau,3 oz Milk,1 oz Coconut liqueur,1 cup Vanilla ice-cream, , , , ",Combine all ingredients. Blend until smooth. Garnish with chocolate shavings if desired.,Beer mug,Alcoholic
155 Belmont,Cocktail,http://www.thecocktaildb.com/images/media/drink/yqvvqs1475667388.jpg,"Dark rum,Light rum,Vodka,Orange,,,,,,,,,,,","1 shot Dark rum,2 shots Light rum,1 shot Vodka,1 shot Orange juice, , , , , , , , ",Blend with ice. Serve in a wine glass. Garnish with carrot.,White wine glass,Alcoholic
24k nightmare,Shot,http://www.thecocktaildb.com/images/media/drink/yyrwty1468877498.jpg,"Goldschlager,Jägermeister,Rumple Minze,151 proof rum,,,,,,,,,,,","1/2 oz Goldschlager,1/2 oz Jägermeister,1/2 oz Rumple Minze,1/2 oz Bacardi 151 proof rum, , , , , , , , ","Add over ice,shake and pour.",Shot glass,Alcoholic
252,Shot,http://www.thecocktaildb.com/images/media/drink/rtpxqw1468877562.jpg,"151 proof rum,Wild Turkey,,,,,,,,,,,,,","1/2 shot Bacardi 151 proof rum,1/2 shot Wild Turkey, , , , , , , , , , ","Add both ingredients to shot glass, shoot, and get drunk quick",Shot glass,Alcoholic
3 Wise Men,Shot,http://www.thecocktaildb.com/images/media/drink/wxqpyw1468877677.jpg,"Jack Daniels,Johnnie Walker,Jim Beam,,,,,,,,,,,,","1/3 oz Jack Daniels,1/3 oz Johnnie Walker,1/3 oz Jim Beam, , , , , , , , , ",put them them in a glass... and slam it to tha head.,Collins glass,Alcoholic
3-Mile Long Island Iced Tea,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/rrtssw1472668972.jpg,"Gin,Light rum,Tequila,Triple sec,Vodka,Coca-Cola,Sweet and sour,Bitters,Lemon,,,,,,","1/2 oz Gin,1/2 oz Light rum,1/2 oz Tequila,1/2 oz Triple sec,1/2 oz Vodka,
 Coca-Cola,1-2 dash Sweet and sour,1 wedge Bitters, Lemon, , , ",Fill 14oz glass with ice and alcohol. Fill 2/3 glass with cola and remainder with sweet & sour. Top with dash of bitters and lemon wedge.,Collins Glass,Alcoholic
410 Gone,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/xtuyqv1472669026.jpg,"Peach Vodka,Coca-Cola,,,,,,,,,,,,,","2-3 oz Peach Vodka, Coca-Cola, , , , , , , , , , ",,Collins Glass,Alcoholic
50/50,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/wwpyvr1461919316.jpg,"Vanilla vodka,Grand Marnier,Orange,,,,,,,,,,,,","2 1/2 oz Vanilla vodka,1 splash Grand Marnier,Fill with Orange juice, , , , , , , , , ",fill glass with crushed ice. Add vodka. Add a splash of grand-marnier. Fill with o.j.,Collins Glass,Alcoholic
501 Blue,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/ywxwqs1461867097.jpg,"Blue Curacao,Blueberry schnapps,Vodka,Sour mix,7-Up,,,,,,,,,,","Blue Curacao,Blueberry schnapps,Vodka,Sour mix,7-Up,",Mix equal amounts into a glass with ice.,Collins Glass,Alcoholic
69 Special,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vqyxqx1472669095.jpg,"Gin,7-Up,Lemon,,,,,,,,,,,,","2 oz dry Gin,4 oz 7-Up,0.75 oz Lemon juice, , , , , , , , , ","Pour 2 oz. gin. Add 4 oz. 7-up. Add Lemon Juice for flavor. If you are weak, top up glass with more 7-Up.",Collins Glass,Alcoholic
747,Shot,http://www.thecocktaildb.com/images/media/drink/xxsxqy1472668106.jpg,"Kahlua,Bailey's irish cream,Frangelico,,,,,,,,,,,,","1/3 part Kahlua,1/3 part Bailey's irish cream,1/3 part Frangelico, , , , , , , , , ","pour kaluha, then Bailey's, then Frangelico not chilled and not layered -- SERVE!!!",Shot glass,Alcoholic
9 1/2 Weeks,Cocktail,http://www.thecocktaildb.com/images/media/drink/xvwusr1472669302.jpg,"Absolut Citron,Orange Curacao,Strawberry liqueur,Orange,,,,,,,,,,,","2 oz Absolut Citron,1/2 oz Orange Curacao,1 splash Strawberry liqueur,1 oz Orange juice, , , , , , , , ",Combine all ingredients in glass mixer. Chill and strain into Cocktail glass. Garnish with sliced strawberry.,Cocktail glass,Alcoholic
A Day at the Beach,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/trptts1454514474.jpg,"Coconut rum,Amaretto,Orange,Grenadine,,,,,,,,,,,","1 oz Coconut rum,1/2 oz Amaretto,4 oz Orange juice,1/2 oz Grenadine, , , , , , , , ","Shake Rum, Amaretto, and Orange Juice in a shaker filled with ice. Strain over ice into a highball glass. Add Grenadine and garnish with a Pineapple Wedge and a Strawberry.",Highball glass,Alcoholic
A Furlong Too Late,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/ssxvww1472669166.jpg,"Light rum,Ginger beer,Lemon,,,,,,,,,,,,","2 oz Light rum,4 oz Ginger beer,1 twist of Lemon peel, , , , , , , , , ",Pour the rum and ginger beer into a highball glass almost filled with ice cubes. Stir well. Garnish with the lemon twist.,Highball glass,Alcoholic
A Gilligan's Island,Cocktail,http://www.thecocktaildb.com/images/media/drink/wysqut1461867176.jpg,"Vodka,Peach schnapps,Orange,Cranberry,,,,,,,,,,,","1 oz Vodka,1 oz Peach schnapps,3 oz Orange juice,3 oz Cranberry juice, , , , , , , , ","Shaken, not stirred!",Collins glass,Alcoholic
A Night In Old Mandalay,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vyrvxt1461919380.jpg,"Light rum,Añejo rum,Orange,Lemon,Ginger ale,,,,,,,,,","1 oz Light rum,1 oz Añejo rum,1 oz Orange juice,1/2 oz Lemon juice,3 oz Ginger ale,1 twist of Lemon peel, , , , , , ","In a shaker half-filled with ice cubes, combine the light rum, añejo rum, orange juice, and lemon juice. Shake well. Strain into a highball glass almost filled with ice cubes. Top with the ginger ale. Garnish with the lemon twist.",Highball glass,Alcoholic
A Piece of Ass,Other/Unknown,http://www.thecocktaildb.com/images/media/drink/tqxyxx1472719737.jpg,"Amaretto,Southern Comfort,Ice,Sour mix,,,,,,,,,,,","1 shot Amaretto,1 shot Southern Comfort, cubes Ice, Sour mix",Put ice in glass. Pour in shots. Fill with Sour Mix.,Highball glass,Alcoholic
A Splash of Nash,Shot,http://www.thecocktaildb.com/images/media/drink/rsvtrr1472668201.jpg,"Cranberry,Soda water,Midori melon liqueur,Creme de Banane,,,,,,,,,,,","2 oz Cranberry juice,2 oz Soda water,0.5 oz Midori melon liqueur,0.5 oz Creme de Banane, , , , , , , , ",Drop shot glass with banana & melon liquers into a 9 oz hi- ball glass containing soda water and cranberry juice. Drink in one shot.,Highball glass,Alcoholic
A True Amaretto Sour,Cocktail,http://www.thecocktaildb.com/images/media/drink/rptuxy1472669372.jpg,"Amaretto,Lemon,Ice,Maraschino cherry,,,,,,,,,,,","1 jigger Amaretto,Juice of 1/2 Lemon,
 Ice, Maraschino cherry, , , , , , , , ","Rub the rim of an old fashioned glass with lemon, and dip repeatedly into granulated sugar until it has a good ""frosted"" rim. Shake a jigger of Amaretto with the juice of 1/2 a lemon. Strain into glass and add ice. Garnish with a Marachino Cherry.",Old-fashioned glass,Alcoholic
A midsummernight dream,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/ysqvqp1461867292.jpg,"Vodka,Kirschwasser,Strawberry liqueur,Strawberries,Schweppes Russchian,,,,,,,,,,","2 oz Vodka,1 oz Kirschwasser,1 tsp Strawberry liqueur,5 Strawberries,Schweppes Russchian","Mix the strawberrys in a blender Pour it together with the vodka,kirch and strawberry liquer over ice in a shaker. Shake well and pour in a highballglass. Fill up with the Russchian water",Collins Glass,Alcoholic
A. J.,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/uryyrr1472811418.jpg,"Applejack,Grapefruit,,,,,,,,,,,,,","1 1/2 oz Applejack,1 oz Grapefruit juice, , , , , , , , , , ","Shake ingredients with ice, strain into a cocktail glass, and serve.",Cocktail glass,Alcoholic
A.D.M. (After Dinner Mint),Cocktail,http://www.thecocktaildb.com/images/media/drink/ruxuvp1472669600.jpg,"White Creme de Menthe,Southern Comfort,Vodka,Hot chocolate,,,,,,,,,,,","1/2 oz White Creme de Menthe,3/4 oz Southern Comfort,1/2 oz Vodka,Fill with Hot chocolate, , , , , , , , ",shake vigorously,Irish coffee cup,Alcoholic
A1,Cocktail,http://www.thecocktaildb.com/images/media/drink/2x8thr1504816928.jpg,"Gin,Grand Marnier,Lemon,Grenadine,,,,,,,,,,,","1 3/4 shot Gin,1 Shot Grand Marnier,1/4 Shot Lemon Juice,1/8 Shot Grenadine","Pour all ingredients into a cocktail shaker, mix and serve over ice into a chilled glass.",Cocktail glass,Alcoholic
ABC,Shot,http://www.thecocktaildb.com/images/media/drink/tqpvqp1472668328.jpg,"Amaretto,Bailey's irish cream,Cognac,,,,,,,,,,,,","43891 Amaretto,43891 Bailey's irish cream,43891 Cognac, , , , , , , , , ",Layered in a shot glass.,Shot glass,Alcoholic
ACID,Shot,http://www.thecocktaildb.com/images/media/drink/xuxpxt1479209317.jpg,"151 proof rum,Wild Turkey,,,,,,,,,,,,,","1 oz Bacardi 151 proof rum,1 oz Wild Turkey, , , , , , , , , , ",Poor in the 151 first followed by the 101 served with a Coke or Dr Pepper chaser.,Shot glass,Alcoholic
AT&T,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/rhhwmp1493067619.jpg,"Vodka,Gin,Tonic water,,,,,,,,,,,,","1 oz Vodka,1 oz Gin,4 oz Tonic water, , , , , , , , , ","Pour Vodka and Gin over ice, add Tonic and Stir",Highball Glass,Alcoholic
Abbey Cocktail,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/quyyuw1472811568.jpg,"Gin,Orange bitters,Orange,Cherry,,,,,,,,,,,","1 1/2 oz Gin,1 dash Orange bitters,Juice of 1/4 Orange,1 Cherry, , , , , , , , ",Shake all ingredients (except for the cherry) with ice and strain into a cocktail glass. Top with the cherry and serve.,Cocktail glass,Alcoholic
Abbey Martini,Cocktail,http://www.thecocktaildb.com/images/media/drink/2mcozt1504817403.jpg,"Gin,Sweet Vermouth,Orange,Angostura Bitters,,,,,,,,,,,","2 shots Gin,1 shot Sweet Vermouth,1 shot Orange Juice,3 dashes Angostura Bitters","Put all ingredients into a shaker and mix, then strain contents into a chilled cocktail glass.",Cocktail glass,Alcoholic
Abilene,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/ysqwwt1461919465.jpg,"Dark rum,Peach nectar,Orange,,,,,,,,,,,,","1 1/2 oz Dark rum,2 oz Peach nectar,3 oz Orange juice, , , , , , , , , ",Pour all of the ingredients into a highball glass almost filled with ice cubes. Stir well.,Highball glass,Alcoholic
Absinthe #2,Homemade Liqueur,http://www.thecocktaildb.com/images/media/drink/uxxtrt1472667197.jpg,"Vodka,Sugar,anis,Licorice root,Wormwood,,,,,,,,,,","1 bottle Vodka,50 gr Sugar,50 ml pure anis,1 tblsp Licorice root,1 Wormwood, , , , , , , ","Mix together and let sit a few days. Strain through a coffee filter. To serve mix 1 part absinthe to 4 parts water, add ice, enjoy.",Jar,Alcoholic
Absolut Evergreen,Other/Unknown,http://www.thecocktaildb.com/images/media/drink/wrxrxp1472812609.jpg,"Absolut Citron,Pisang Ambon,Ice,Bitter lemon,,,,,,,,,,,","2/3 part Absolut Citron,1/3 part Pisang Ambon, cubes Ice, Bitter lemon","Mix, pour over ice and top up with Bitter Lemon.",Collins Glass,Alcoholic
Absolut Sex,Shot,http://www.thecocktaildb.com/images/media/drink/xtrvtx1472668436.jpg,"Absolut Kurant,Midori melon liqueur,Cranberry,Sprite,,,,,,,,,,,","3/4 oz Absolut Kurant,3/4 oz Midori melon liqueur,1 oz Cranberry juice,1 splash Sprite, , , , , , , , ","Shake Absolut Kurant, Midori, and Cranberry juice in shaker with ice: Strain into rocks glass: Splash of seven on top.Absolut Sex.",Old-fashioned glass,Alcoholic
Absolut Stress #2,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/xuyqrw1472811825.jpg,"Vodka,Peach schnapps,Coconut liqueur,Cranberry,Pineapple,,,,,,,,,,","1 1/2 oz Vodka,1/2 oz Peach schnapps,1/2 oz Coconut liqueur,1 1/2 oz Cranberry juice,1 1/2 oz Pineapple juice, , , , , , , ",Mix well. Garnish with Orange and Cherry. Enjoy,Collins Glass,Alcoholic
Absolut Summertime,Cocktail,http://www.thecocktaildb.com/images/media/drink/trpxxs1472669662.jpg,"Absolut Citron,Sweet and sour,Sprite,Soda water,Lemon,,,,,,,,,,","1 1/2 oz Absolut Citron,3/4 oz Sweet and sour,1/2 oz Sprite,3 oz Soda water,1 slice Lemon, , , , , , , ",Add all ingredients except lemon to shaker filled with ice. Cover and shake vigorously. Strain contents into ice filled collins glass. Garnish with lemon.,Collins glass,Alcoholic
Absolut limousine,Other/Unknown,http://www.thecocktaildb.com/images/media/drink/ssqpyw1472719844.jpg,"Absolut Citron,Lime,Ice,Tonic water,,,,,,,,,,,","43892 Absolut Citron,43891 Lime juice,Fill with Ice,Top it up with Tonic water, , , , , , , , ",Fill Absolut into a glass. Add Lime juice. Add Ice and lime wedges.,Collins Glass,Alcoholic
Absolutely Cranberry Smash,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vqwstv1472811884.jpg,"Vodka,Cranberry,Ginger ale,Ice,,,,,,,,,,,","2 oz Vodka,4 oz Cranberry juice,2 oz Ginger ale,Add Ice, , , , , , , , ",Stir ingredients together. Serve over ice.,Cocktail glass,Alcoholic
Absolutely Fabulous,Cocktail,http://www.thecocktaildb.com/images/media/drink/abcpwr1504817734.jpg,"Vodka,Cranberry,Champagne,,,,,,,,,,,,","1 shot Vodka,2 shots Cranberry Juice,Top up with Champagne",Mix the Vodka and Cranberry juice together in a shaker and strain into a glass. Top up with Champagne.,Champagne flute,Alcoholic
Absolutly Screwed Up,Cocktail,http://www.thecocktaildb.com/images/media/drink/yvxrwv1472669728.jpg,"Absolut Citron,Orange,Triple sec,Ginger ale,,,,,,,,,,,","1 shot Absolut Citron,1 shot Orange juice,1 shot Triple sec,Fill to top Ginger ale, , , , , , , , ","Shake it up it tasts better that way, but you can stir it if you want. 6 of those and you will be wasted for the rest of the night.",Collins glass,Alcoholic
Acapulco,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vtpsvr1472811976.jpg,"Light rum,Triple sec,Lime,Sugar,Egg,Mint,,,,,,,,,","1 1/2 oz Light rum,1 1/2 tsp Triple sec,1 tblsp Lime juice,1 tsp Sugar,1 Egg white,1 Mint, , , , , , ",Combine and shake all ingredients (except mint) with ice and strain into an old-fashioned glass over ice cubes. Add the sprig of mint and serve.,Old-fashioned glass,Alcoholic
Ace,Cocktail,http://www.thecocktaildb.com/images/media/drink/l3cd7f1504818306.jpg,"Gin,Grenadine,Heavy cream,Milk,Egg,,,,,,,,,,","2 shots Gin,1/2 shot Grenadine,1/2 shot Heavy cream,1/2 shot Milk,1/2 Fresh Egg White",Shake all the ingredients in a cocktail shaker and ice then strain in a cold glass.,Martini Glass,Alcoholic
Adam,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/rwuxsv1472812169.jpg,"Dark rum,Lemon,Grenadine,,,,,,,,,,,,","2 oz Dark rum,1 oz Lemon juice,1 tsp Grenadine, , , , , , , , , ","In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",Cocktail glass,Alcoholic
Adam & Eve,Cocktail,http://www.thecocktaildb.com/images/media/drink/vfeumw1504819077.jpg,"Gin,Cognac,Creme de Cassis,Lemon,,,,,,,,,,,","1 shot Gin,1 shot Cognac,1 shot Creme de Cassis,1/8 shot Fresh Lemon Juice, , , , , , , , ",Shake together all the ingredients and strain into a cold glass.,Cocktail glass,Alcoholic
Adam Bomb,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/tpxurs1454513016.jpg,"Rum,Vodka,Tequila,Triple sec,Fruit,Ice,Salt,,,,,,,,","1 part Rum,1 part Vodka,1 part Tequila,1/2 part Triple sec,
 Fruit,Ice,1-3 pint Salt, Fruit juice, , , , ","Add ice to blender (or to glass if prefer on the rocks) then fruit, and fruite juice depending on personal prefference then add the Rum, Vodka, Tequila, and triple sec. blend till smooth, rim glass with sugar or salt and pour mixture in. garnish with lemon or lime slice.",Margarita/Coupette glass,Alcoholic
Adam Sunrise,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vtuyvu1472812112.jpg,"Vodka,Lemon,Water,Sugar,,,,,,,,,,,","43862 Vodka,1/2 can Lemon juice,43862 Water,10 tsp Sugar, , , , , , , , ","Fill blender up with ice. Fill half with Bartons Vodka. Put 10 tsp of sugar, add 1/2 can lemon juice concentrate, fill to top with water. Blend for 60 seconds.",Collins Glass,Alcoholic
Addington,Cocktail,http://www.thecocktaildb.com/images/media/drink/ib0b7g1504818925.jpg,"Sweet Vermouth,Dry Vermouth,Soda Water,,,,,,,,,,,,","2 shots Sweet Vermouth,1 shot Dry Vermouth,Top up with Soda Water",Mix both the vermouth's in a shaker and strain into a cold glass. Top up with a squirt of Soda Water.,Cocktail glass,Alcoholic
Addison,Cocktail,http://www.thecocktaildb.com/images/media/drink/yzva7x1504820300.jpg,"Gin,Vermouth,,,,,,,,,,,,,","1 1/2 shot Gin,1 1/2 shot Vermouth",Shake together all the ingredients and strain into a cold glass.,Martini Glass,Alcoholic
Addison Special,Cocktail,http://www.thecocktaildb.com/images/media/drink/4vo5651493068493.jpg,"Vodka,Grenadine,Orange,,,,,,,,,,,,","1 shot Vodka,1 tblsp Grenadine,Fill with Orange juice, , , , , , , , , ",Combine ingredients in the order listed into a shaker. Fill half full with ice and shake well. Strain into glass with ice and garnish with a cherry and orange wedge.,Old-fashioned glass,Alcoholic
Adios Amigos Cocktail,Cocktail,http://www.thecocktaildb.com/images/media/drink/8nk2mp1504819893.jpg,"Rum,Dry Vermouth,Cognac,Gin,Lime,Sugar Syrup,Water,,,,,,,,","1 shot Rum,1/2 shot Dry Vermouth,1/2 shot Cognac,1/2 shot Gin,1/4 shot Fresh Lime Juice,1/4 shot Sugar Syrup,1/2 shot Water, , , , , ",Shake together all the ingredients and strain into a cold glass.,Martini Glass,Alcoholic
Adonis Cocktail,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/xrvruq1472812030.jpg,"Sweet Vermouth,Sherry,Orange bitters,,,,,,,,,,,,","3/4 oz Sweet Vermouth,1 1/2 oz dry Sherry,1 dash Orange bitters, , , , , , , , , ","Stir all ingredients with ice, strain contents into a cocktail glass, and serve.",Cocktail glass,Alcoholic
Affair,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/wxrsxx1472720734.jpg,"Strawberry schnapps,Orange,Cranberry,Club soda,,,,,,,,,,,","2 oz Strawberry schnapps,2 oz Orange juice,2 oz Cranberry juice, Club soda","Pour schnapps, orange juice, and cranberry juice over ice in a highball glass. Top with club soda and serve.",Highball glass,Alcoholic
Affinity,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/nwatpb1504817045.jpg,"Scotch,Sweet Vermouth,Dry Vermouth,Orange bitters,,,,,,,,,,,","1 1/2 oz Scotch,1 oz Sweet Vermouth,1 oz Dry Vermouth,2 dashes Orange bitters, , , , , , , , ","In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.",Cocktail glass,Alcoholic
After Dinner Cocktail,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vtytxq1483387578.jpg,"Apricot brandy,Triple sec,Lime,Lime,,,,,,,,,,,","1 oz Apricot brandy,1 oz Triple sec,Juice of 1 Lime,1 Lime, , , , , , , , ",Shake all ingredients (except lime wedge) with ice and strain into a cocktail glass. Add the wedge of lime and serve.,Cocktail glass,Alcoholic
After Five,Shot,http://www.thecocktaildb.com/images/media/drink/sk3lr91493068595.jpg,"Peppermint schnapps,Kahlua,Bailey's irish cream,,,,,,,,,,,,","Peppermint schnapps,Kahlua, Bailey's irish cream","1. Pour Kahlua into shot glass to about 1/2 full. 2. Using a spoon(inverted), slowly pour in the Peppermint Schnapps until glass is about 3/4 full. Done correctly, the Schnapps will flow under the Kahlua for a clear layer. 3. Again using a spoon, but this time right side up, slowly top off the glass with a layer of Bailey's. Be careful to place the spoon right at the top of the Kahlua layer and to raise it as the glass fills up. Done correctly, this will provide a layer of Bailey's floating over the Kahlua. 4. Toss it down all at once for something like a Peppermint Pattie, WITH A BANG!!! NOTE: Best if all ingredients are chilled",Shot glass,Alcoholic
After Supper Cocktail,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/quyxwu1483387610.jpg,"Triple sec,Apricot brandy,Lemon,,,,,,,,,,,,","1 oz Triple sec,1 oz Apricot brandy,1/2 tsp Lemon juice, , , , , , , , , ","Shake all ingredients with ice, strain into a cocktail glass, and serve.",Cocktail glass,Alcoholic
After sex,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/xrl66i1493068702.jpg,"Vodka,Creme de Banane,Orange,,,,,,,,,,,,","2 cl Vodka,1 cl Creme de Banane,Orange juice,",Pour the vodka and creme over some ice cubes in a tall glass and fill up with juice. to make it beuty full make the top of the glass with a grenadine and sugar,Highball glass,Alcoholic
Afterglow,Cocktail,http://www.thecocktaildb.com/images/media/drink/vuquyv1468876052.jpg,"Grenadine,Orange,Pineapple,,,,,,,,,,,,","1 part Grenadine,4 parts Orange juice,4 parts Pineapple juice, , , , , , , , , ",Mix. Serve over ice.,Highball Glass,Non alcoholic
Afternoon,Coffee / Tea,http://www.thecocktaildb.com/images/media/drink/vyrurp1472667777.jpg,"Kahlua,Bailey's irish cream,Frangelico,Coffee,Cream,,,,,,,,,,","1 cl Kahlua,1 cl Bailey's irish cream,1 1/2 Frangelico,4 cl hot Coffee,
 Cream,","Build into a suiting glass, with no ice. Cream on top if wanted. Served directly.",Collins Glass,Alcoholic
Alabama Slammer,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/qtwxwr1483387647.jpg,"Southern Comfort,Amaretto,Sloe gin,Lemon,,,,,,,,,,,","1 oz Southern Comfort,1 oz Amaretto,1/2 oz Sloe gin,1 dash Lemon juice, , , , , , , , ","Pour all ingredients (except for lemon juice) over ice in a highball glass. Stir, add a dash of lemon juice, and serve.",Highball glass,Alcoholic
Alaska Cocktail,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/wsyryt1483387720.jpg,"Orange bitters,Gin,Yellow Chartreuse,Lemon,,,,,,,,,,,","2 dashes Orange bitters,1 1/2 oz Gin,3/4 oz Yellow Chartreuse,Twist of Lemon peel, , , , , , , , ","Stir all ingredients with ice, strain contents into a cocktail glass. Drop in a twist of lemon and serve.",Cocktail glass,Alcoholic
Alexander,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/urystu1478253039.jpg,"Gin,Creme de Cacao,Light cream,Nutmeg,,,,,,,,,,,","1/2 oz Gin,1/2 oz white Creme de Cacao,2 oz Light cream, Nutmeg, , , , , , , , ",Shake all ingredients with ice and strain contents into a cocktail glass. Sprinkle nutmeg on top and serve.,Cocktail glass,Alcoholic
Alfie Cocktail,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/ypxsqy1483387829.jpg,"Lemon vodka,Triple sec,Pineapple,,,,,,,,,,,,","1 1/2 oz Lemon vodka,1 dash Triple sec,1 tblsp Pineapple juice, , , , , , , , , ","Combine and shake all ingredients with ice, strain into a cocktail glass, and serve.",Cocktail glass,Alcoholic
Algonquin,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/uwryxx1483387873.jpg,"Blended whiskey,Dry Vermouth,Pineapple,,,,,,,,,,,,","1 1/2 oz Blended whiskey,1 oz Dry Vermouth,1 oz Pineapple juice, , , , , , , , , ","Combine and shake all ingredients with ice, strain contents into a cocktail glass, and serve.",Cocktail glass,Alcoholic
Alice Cocktail,Cocktail,http://www.thecocktaildb.com/images/media/drink/qyqtpv1468876144.jpg,"Grenadine,Orange,Pineapple,Cream,,,,,,,,,,,","1 cl Grenadine,1 cl Orange juice,2 cl Pineapple juice,4 cl Cream, , , , , , , , ","Shake well, strain into a large cocktail glass.",Cocktail glass,Non alcoholic
Alice in Wonderland,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/g12lj41493069391.jpg,"Amaretto,Grand Marnier,Southern Comfort,,,,,,,,,,,,","1 shot Amaretto,1 shot Grand Marnier,1 shot Southern Comfort, , , , , , , , , ",Just mix the three ingredients one to one to one,Collins Glass,Alcoholic
Allegheny,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/uwvyts1483387934.jpg,"Dry Vermouth,Bourbon,Blackberry brandy,Lemon,,,,,,,,,,,","1 oz Dry Vermouth,1 oz Bourbon,1 1/2 tsp Blackberry brandy,1 1/2 tsp Lemon juice,1 twist of Lemon peel, , , , , , , ",Shake all ingredients (except lemon peel) with ice and strain into a cocktail glass. Top with the twist of lemon peel and serve.,Cocktail glass,Alcoholic
Allies Cocktail,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/qvprvp1483388104.jpg,"Dry Vermouth,Gin,Kummel,,,,,,,,,,,,","1 oz Dry Vermouth,1 oz Gin,1/2 tsp Kummel, , , , , , , , , ","Stir all ingredients with ice, strain contents into a cocktail glass, and serve.",Cocktail glass,Alcoholic
Almeria,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/rwsyyu1483388181.jpg,"Dark rum,Kahlua,Egg,,,,,,,,,,,,","2 oz Dark rum,1 oz Kahlua,1 Egg white, , , , , , , , , ","In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",Cocktail glass,Alcoholic
Almond Chocolate Coffee,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/jls02c1493069441.jpg,"Amaretto,Dark Creme de Cacao,Coffee,,,,,,,,,,,,","3/4 oz Amaretto,1/2 oz Dark Creme de Cacao,8 oz Coffee, , , , , , , , , ",Pour in order into coffee cup. Top with whipped creme and chocolate shcvings.,Coffee mug,Alcoholic
